#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  17900      2.50e+00    2.71e+00      4.05e-03    4.52e-03      8.52e-02    9.26e-02    8.6e-04
  18000      2.52e+00    2.66e+00      2.75e-02    2.85e-02      8.58e-02    9.07e-02    8.6e-04
  18100      2.57e+00    2.57e+00      7.33e-03    7.39e-03      8.78e-02    8.78e-02    8.6e-04
  18200      2.79e+00    3.00e+00      7.02e-03    6.43e-03      9.51e-02    1.02e-01    8.6e-04
  18300      2.69e+00    2.58e+00      3.51e-02    3.45e-02      9.17e-02    8.79e-02    8.6e-04
  18400      2.60e+00    2.54e+00      8.42e-03    1.01e-02      8.89e-02    8.69e-02    8.6e-04
  18500      2.71e+00    2.69e+00      2.88e-02    2.92e-02      9.25e-02    9.18e-02    8.6e-04
  18600      2.76e+00    2.45e+00      1.49e-02    1.52e-02      9.43e-02    8.35e-02    8.6e-04
  18700      2.50e+00    2.57e+00      1.62e-02    1.65e-02      8.52e-02    8.77e-02    8.6e-04
  18800      2.43e+00    2.20e+00      1.46e-02    1.48e-02      8.29e-02    7.52e-02    8.6e-04
  18900      2.62e+00    2.67e+00      2.09e-02    2.14e-02      8.94e-02    9.10e-02    8.6e-04
  19000      2.55e+00    2.37e+00      2.36e-02    2.31e-02      8.70e-02    8.09e-02    8.6e-04
  19100      3.21e+00    2.73e+00      2.74e-02    2.51e-02      1.09e-01    9.30e-02    8.6e-04
  19200      2.70e+00    2.74e+00      2.11e-02    2.09e-02      9.20e-02    9.34e-02    8.6e-04
  19300      2.84e+00    2.86e+00      5.36e-03    6.33e-03      9.68e-02    9.78e-02    8.6e-04
  19400      2.57e+00    2.59e+00      1.96e-03    1.29e-03      8.79e-02    8.84e-02    8.6e-04
  19500      2.58e+00    2.60e+00      1.04e-02    1.04e-02      8.82e-02    8.87e-02    8.6e-04
  19600      2.74e+00    2.56e+00      1.13e-02    1.02e-02      9.34e-02    8.75e-02    8.6e-04
  19700      2.75e+00    2.46e+00      2.28e-02    2.42e-02      9.37e-02    8.40e-02    8.6e-04
  19800      2.74e+00    2.55e+00      9.55e-03    9.19e-03      9.37e-02    8.70e-02    8.6e-04
  19900      2.67e+00    2.70e+00      1.68e-02    1.57e-02      9.11e-02    9.21e-02    8.6e-04
  20000      2.86e+00    2.74e+00      4.58e-02    4.53e-02      9.96e-02    9.54e-02    8.1e-04
  20100      2.81e+00    2.40e+00      3.41e-02    3.65e-02      9.83e-02    8.36e-02    8.1e-04
  20200      2.47e+00    2.73e+00      1.80e-02    1.79e-02      8.63e-02    9.55e-02    8.1e-04
  20300      2.58e+00    2.67e+00      6.61e-03    6.99e-03      9.05e-02    9.34e-02    8.1e-04
  20400      2.66e+00    2.50e+00      5.81e-03    6.33e-03      9.32e-02    8.75e-02    8.1e-04
  20500      2.64e+00    2.47e+00      7.91e-04    3.22e-04      9.25e-02    8.65e-02    8.1e-04
